Отметка времени,Проводили ли Вы когда-либо опросы с использованием онлайн-платформ?,На какой ступени образования Вы сейчас находитесь?,"Создавая опросы, думаете ли Вы о респондентах?","ПО какого производства Вы, как правило, используете для проведения опросов?","Если бы Вы рекомендовали сервис для проведения опросов, которым пользуетесь, родственнику/знакомому/коллеге, какие его ключевые особенности Вы бы выделили?","Какие функции Вы ещё не встречали в сервисах для проведения онлайн-опросов, но хотели бы видеть там?","Как Вы относитесь к тому, чтобы указывать в анкете примерное время, которое затратит на её прохождение респондент?","Как Вы думаете, насколько Ваших респондентов затрудняет необходимость каждый раз вводить одни и те же данные (ФИО, пол, дата рождения и т.д.) при прохождении опросов?","Насколько сложная логика перемещения между вопросами, согласно Вашему опыту, должна присутствовать в сервисе для проведения опросов?",Какие статистические методы Вы чаще всего применяете для анализа полученных ответов?,"Выберите соотношение между простотой использования и мощностью статистического инструментария, наиболее подходящее именно Вам.","Хотели бы Вы, чтобы каждое применение нашим сервисом статистического метода сопровождалось справкой по нему, написанной простым языком?"
2025-11-12 22:50:59.893,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Зарубежного,"Автоматическое отображение текущей статистики ответов, Экспорт данных в различных удобных форматах, Возможность настраивать ветвления вопросов",,"Я указываю, но надпись, возможно, не соответствует реальности",Слабо затрудняет,"Базовая: вопросы делятся на разделы, которые проходятся по порядку","Корреляция между ответами на разные вопросы, Круговые диаграммы",5.0,"Мне кажется, что это должно быть обязательной функцией"
2025-11-13 08:29:20.753,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Затрудняюсь ответить,"Наличие шаблонов для анкет, Экспорт данных в различных удобных форматах, Автоматическое отображение текущей статистики ответов, Наличие надёжной защиты и конфиденциальности данных, Возможность кастомизировать дизайн опроса",-,Я никогда не думал(-а) об этом,Слабо затрудняет,"Базовая: вопросы делятся на разделы, которые проходятся по порядку","Корреляция между ответами на разные вопросы, Точечные графики, Среднее арифметическое, Наиболее встречаемое значение (мода), Круговые диаграммы, Гистограммы",5.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-13 08:35:19.133,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Зарубежного,"Автосохранение ответов у респондента, Возможность совместной работы над созданием опросов, Экспорт данных в различных удобных форматах, Автоматическое отображение текущей статистики ответов",,"Я указываю, но надпись, возможно, не соответствует реальности",Слабо затрудняет,"Сложная: ответы взаимозависимы как внутри одного вопроса, так и между разными","Корреляция между ответами на разные вопросы, Гистограммы, Круговые диаграммы, Наиболее встречаемое значение (мода)",6.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-13 13:18:05.724,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,"Экспорт данных в различных удобных форматах, Наличие надёжной защиты и конфиденциальности данных, Наличие шаблонов для анкет, Возможность настраивать ветвления вопросов, Автосохранение ответов у респондента, Возможность кастомизировать дизайн опроса",,Я никогда не думал(-а) об этом,Сильно затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Гистограммы, Наиболее встречаемое значение (мода), Точечные графики, Среднее арифметическое, Круговые диаграммы, Медиана",4.0,"Мне кажется, что это должно быть обязательной функцией"
2025-11-13 21:00:07.407,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Зарубежного,"Автоматическое отображение текущей статистики ответов, Экспорт данных в различных удобных форматах","Я хотел бы там видеть ИИ ассистента, который бы мне помогал писать опрос и анализировать статистику. Также мне хотелось бы иметь кнопку злости, чтобы кликать её, когда злюсь или думаю. ",А что если собирать данные о времени прохождения пользователями опроса и их усреднять и указывать? Было бы классно.,"Скорее всего, не затрудняет",Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Среднее арифметическое, Круговые диаграммы, Я не знаю 80% слов этих🥲",5.0,"Мне всё равно – и так знаю, как методы работают"
2025-11-13 21:22:29.614,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,"Автоматическое отображение текущей статистики ответов, Возможность задавать случайный порядок отображения вопросов, Возможность настраивать ветвления вопросов, Возможность кастомизировать дизайн опроса, Автосохранение ответов у респондента",,"Я не пишу, ведь это навредит респондентам","Скорее всего, не затрудняет",Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Круговые диаграммы, Наиболее встречаемое значение (мода), Точечные графики, Гистограммы",5.0,
2025-11-14 19:25:11.844,Нет,Высшее образование,,,,,,,,,,
2025-11-14 19:50:26.224,Да,Среднее общее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,"Автосохранение ответов у респондента, Возможность ограничивать количество выбранных ответов в check box, Возможность совместной работы над созданием опросов",,"Я указываю, но надпись, возможно, не соответствует реальности",Слабо затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Среднее арифметическое, Гистограммы, Наиболее встречаемое значение (мода)",7.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-14 23:11:13.991,Нет,Высшее образование,,,,,,,,,,
2025-11-15 10:45:41.230,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Зарубежного,"Возможность ограничивать количество выбранных ответов в check box, Возможность настраивать ветвления вопросов, Наличие надёжной защиты и конфиденциальности данных, Экспорт данных в различных удобных форматах",,Я никогда не думал(-а) об этом,Сильно затрудняет,Никакая: все вопросы размещаются на одной странице,"Гистограммы, Круговые диаграммы",5.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-15 19:40:37.224,Нет,Другое,,,,,,,,,,
2025-11-15 20:15:23.211,Да,Среднее общее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Зарубежного,"Автоматическое отображение текущей статистики ответов, Наличие надёжной защиты и конфиденциальности данных",,"Я не пишу, поскольку это не имеет смысла",Слабо затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Среднее арифметическое, Гистограммы, Корреляция между ответами на разные вопросы, Наиболее встречаемое значение (мода), Круговые диаграммы",2.0,"Нет, я считаю это излишним в таком приложении"
2025-11-15 21:14:28.213,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Затрудняюсь ответить,"Возможность совместной работы над созданием опросов, Возможность кастомизировать дизайн опроса, Экспорт данных в различных удобных форматах, Наличие надёжной защиты и конфиденциальности данных, Автоматическое отображение текущей статистики ответов, Автосохранение ответов у респондента, Возможность ограничивать количество выбранных ответов в check box, Возможность настраивать ветвления вопросов, Возможность задавать случайный порядок отображения вопросов, Наличие шаблонов для анкет",,Я никогда не думал(-а) об этом,Сильно затрудняет,Никакая: все вопросы размещаются на одной странице,"Среднее арифметическое, Наиболее встречаемое значение (мода), Круговые диаграммы, Дифракция, Стандартное отклонение, Гистограммы, Корреляция между ответами на разные вопросы, Дисперсия, Медиана, Точечные графики, ",5.0,"Мне кажется, что это должно быть обязательной функцией"
2025-11-15 21:17:25.829,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Зарубежного,"Возможность настраивать ветвления вопросов, Возможность ограничивать количество выбранных ответов в check box, Экспорт данных в различных удобных форматах",,"Я не пишу, ведь это навредит респондентам","Скорее всего, не затрудняет","Базовая: вопросы делятся на разделы, которые проходятся по порядку",Гистограммы,5.0,"Мне кажется, что это должно быть обязательной функцией"
2025-11-15 21:31:07.228,Да,Начальное общее образование,"Нет, я прямо спрашиваю то, что мне нужно узнать","Отечественного (например, Яндекс)","Возможность совместной работы над созданием опросов, Возможность кастомизировать дизайн опроса, Наличие шаблонов для анкет, Возможность задавать случайный порядок отображения вопросов, Возможность настраивать ветвления вопросов, Автоматическое отображение текущей статистики ответов",,"Я легко и точно узнаю, что писать, благодаря ручной автоматизации",Слабо затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Точечные графики, Корреляция между ответами на разные вопросы, Медиана, Наиболее встречаемое значение (мода), Дифракция",7.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-15 21:31:40.492,Да,Высшее образование,"Нет, я прямо спрашиваю то, что мне нужно узнать","Зарубежного (например, Google)","Автосохранение ответов у респондента, Автоматическое отображение текущей статистики ответов, Возможность настраивать ветвления вопросов, Наличие шаблонов для анкет, Возможность ограничивать количество выбранных ответов в check box, Экспорт данных в различных удобных форматах",,"Я указываю, но надпись, возможно, не соответствует реальности",Не затрудняет вовсе,"Базовая: вопросы делятся на разделы, которые проходятся по порядку","Гистограммы, Среднее арифметическое, Круговые диаграммы, Дисперсия",5.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-15 22:25:10.936,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Затрудняюсь ответить,"Возможность настраивать ветвления вопросов, Автосохранение ответов у респондента, Экспорт данных в различных удобных форматах, Наличие надёжной защиты и конфиденциальности данных, Наличие шаблонов для анкет, Автоматическое отображение текущей статистики ответов, Возможность ограничивать количество выбранных ответов в check box",Голосование в реальном времени ,"Я указываю, но надпись, возможно, не соответствует реальности",Не затрудняет вовсе,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Среднее арифметическое, Медиана, Гистограммы, Корреляция между ответами на разные вопросы, Дифракция, Дисперсия, Круговые диаграммы",8.0,"Мне кажется, что это должно быть обязательной функцией"
2025-11-15 22:33:12.848,Да,Среднее общее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Затрудняюсь ответить,"Возможность задавать случайный порядок отображения вопросов, Возможность настраивать ветвления вопросов, Автосохранение ответов у респондента, Возможность ограничивать количество выбранных ответов в check box, Наличие надёжной защиты и конфиденциальности данных",,"Я указываю, но надпись, возможно, не соответствует реальности",Слабо затрудняет,"Базовая: вопросы делятся на разделы, которые проходятся по порядку","Наиболее встречаемое значение (мода), Точечные графики, Среднее арифметическое, Гистограммы, Круговые диаграммы, Корреляция между ответами на разные вопросы",3.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-15 22:39:46.246,Нет,Высшее образование,,,,,,,,,,
2025-11-15 22:41:51.374,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Затрудняюсь ответить,"Возможность задавать случайный порядок отображения вопросов, Возможность настраивать ветвления вопросов, Экспорт данных в различных удобных форматах, Наличие шаблонов для анкет, Возможность ограничивать количество выбранных ответов в check box",,"Я не пишу, поскольку это не имеет смысла",Сильно затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Корреляция между ответами на разные вопросы, Стандартное отклонение, Дифракция",5.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-15 22:51:34.551,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Затрудняюсь ответить,"Возможность настраивать ветвления вопросов, Автосохранение ответов у респондента, Автоматическое отображение текущей статистики ответов, Наличие надёжной защиты и конфиденциальности данных, Экспорт данных в различных удобных форматах",,"Я не пишу: это полезно, но сложно",Сильно затрудняет,"Базовая: вопросы делятся на разделы, которые проходятся по порядку","Медиана, Среднее арифметическое, Наиболее встречаемое значение (мода), Гистограммы, Круговые диаграммы, Дисперсия, Корреляция между ответами на разные вопросы",4.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-15 22:54:36.716,Да,Среднее общее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,"Автосохранение ответов у респондента, Автоматическое отображение текущей статистики ответов, Наличие надёжной защиты и конфиденциальности данных, Возможность кастомизировать дизайн опроса, Возможность совместной работы над созданием опросов, Возможность настраивать ветвления вопросов",,Я никогда не думал(-а) об этом,Сильно затрудняет,"Базовая: вопросы делятся на разделы, которые проходятся по порядку","Дисперсия, Наиболее встречаемое значение (мода), Среднее арифметическое, Медиана",10.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-15 22:59:07.242,Нет,Основное общее образование,,,,,,,,,,
2025-11-15 23:04:06.284,Нет,Основное общее образование,,,,,,,,,,
2025-11-15 23:15:17.980,Да,Среднее общее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Зарубежного,"Наличие шаблонов для анкет, Автосохранение ответов у респондента, Автоматическое отображение текущей статистики ответов, Возможность кастомизировать дизайн опроса, Возможность настраивать ветвления вопросов, Возможность задавать случайный порядок отображения вопросов",,"Я указываю, но надпись, возможно, не соответствует реальности","Скорее всего, не затрудняет","Базовая: вопросы делятся на разделы, которые проходятся по порядку","Дифракция, Круговые диаграммы, Гистограммы, Наиболее встречаемое значение (мода), Корреляция между ответами на разные вопросы",3.0,"Мне всё равно – и так знаю, как методы работают"
2025-11-15 23:16:00.734,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Зарубежного,"Автоматическое отображение текущей статистики ответов, Возможность совместной работы над созданием опросов, Наличие надёжной защиты и конфиденциальности данных, Наличие шаблонов для анкет, Возможность настраивать ветвления вопросов, Возможность ограничивать количество выбранных ответов в check box","Возможность взаимодействовать со статистикой опросов, например, убирать какие-либо варианты ответов на графике, чтобы удобнее было сравнивать между собой остальные",Я никогда не думал(-а) об этом,Слабо затрудняет,"Сложная: ответы взаимозависимы как внутри одного вопроса, так и между разными","Гистограммы, Круговые диаграммы",5.0,"Мне кажется, что это должно быть обязательной функцией"
2025-11-15 23:19:06.443,Нет,Высшее образование,,,,,,,,,,
2025-11-15 23:30:32.002,Нет,Высшее образование,,,,,,,,,,
2025-11-15 23:38:29.355,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Зарубежного,"Возможность задавать случайный порядок отображения вопросов, Наличие надёжной защиты и конфиденциальности данных, Возможность ограничивать количество выбранных ответов в check box, Экспорт данных в различных удобных форматах, Автоматическое отображение текущей статистики ответов",,"Я не пишу: это полезно, но сложно",Слабо затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Среднее арифметическое, Наиболее встречаемое значение (мода), Точечные графики, Круговые диаграммы",6.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-16 00:05:16.910,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Зарубежного,"Возможность ограничивать количество выбранных ответов в check box, Автоматическое отображение текущей статистики ответов, Экспорт данных в различных удобных форматах",,"Я не пишу: это полезно, но сложно","Скорее всего, не затрудняет","Базовая: вопросы делятся на разделы, которые проходятся по порядку","Корреляция между ответами на разные вопросы, Наиболее встречаемое значение (мода), Точечные графики, Круговые диаграммы",5.0,"Мне всё равно – и так знаю, как методы работают"
2025-11-16 07:42:58.224,Нет,Среднее общее образование,,,,,,,,,,
2025-11-16 10:55:37.740,Нет,Среднее общее образование,,,,,,,,,,
2025-11-16 11:18:47.825,Да,Среднее общее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,"Автоматическое отображение текущей статистики ответов, Экспорт данных в различных удобных форматах, Возможность совместной работы над созданием опросов, Возможность настраивать ветвления вопросов, Автосохранение ответов у респондента",,"Я легко и точно узнаю, что писать, благодаря ручной автоматизации",Сильно затрудняет,Никакая: все вопросы размещаются на одной странице,"Гистограммы, Корреляция между ответами на разные вопросы, Круговые диаграммы",7.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-16 11:41:04.895,Нет,Среднее профессиональное образование,,,,,,,,,,
2025-11-16 12:55:55.577,Да,Среднее общее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Зарубежного,"Наличие шаблонов для анкет, Возможность кастомизировать дизайн опроса, Автоматическое отображение текущей статистики ответов, Наличие надёжной защиты и конфиденциальности данных, Автосохранение ответов у респондента, Экспорт данных в различных удобных форматах, Возможность ограничивать количество выбранных ответов в check box",,"Я не пишу, поскольку это не имеет смысла","Скорее всего, не затрудняет","Базовая: вопросы делятся на разделы, которые проходятся по порядку","Корреляция между ответами на разные вопросы, Гистограммы, Среднее арифметическое, Круговые диаграммы",7.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-16 18:52:11.151,Нет,Высшее образование,,,,,,,,,,
2025-11-16 19:02:20.014,Нет,Высшее образование,,,,,,,,,,
2025-11-16 19:02:21.058,Нет,Высшее образование,,,,,,,,,,
2025-11-16 19:02:56.673,Нет,Высшее образование,,,,,,,,,,
2025-11-16 19:04:05.389,Нет,Высшее образование,,,,,,,,,,
2025-11-16 19:04:56.960,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,"Экспорт данных в различных удобных форматах, Возможность кастомизировать дизайн опроса, Наличие надёжной защиты и конфиденциальности данных, Автосохранение ответов у респондента, Возможность задавать случайный порядок отображения вопросов, Автоматическое отображение текущей статистики ответов, Возможность ограничивать количество выбранных ответов в check box, Возможность настраивать ветвления вопросов",,"Я указываю качественно, но трачу на это много сил",Сильно затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Медиана, Точечные графики",7.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-16 19:15:30.734,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Затрудняюсь ответить,"Возможность совместной работы над созданием опросов, Возможность задавать случайный порядок отображения вопросов, Возможность кастомизировать дизайн опроса, Автосохранение ответов у респондента, Экспорт данных в различных удобных форматах, Автоматическое отображение текущей статистики ответов, Наличие надёжной защиты и конфиденциальности данных, Возможность настраивать ветвления вопросов",,"Я не пишу: это полезно, но сложно",Слабо затрудняет,"Базовая: вопросы делятся на разделы, которые проходятся по порядку","Точечные графики, Наиболее встречаемое значение (мода), Круговые диаграммы, Корреляция между ответами на разные вопросы, Стандартное отклонение, Гистограммы, Среднее арифметическое, Медиана",5.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-16 19:26:37.534,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,Автоматическое отображение текущей статистики ответов,,Я никогда не думал(-а) об этом,"Скорее всего, не затрудняет","Базовая: вопросы делятся на разделы, которые проходятся по порядку",Стандартное отклонение,7.0,"Мне кажется, что это должно быть обязательной функцией"
2025-11-16 21:42:35.533,Нет,Среднее общее образование,,,,,,,,,,
2025-11-16 21:42:57.577,Нет,Среднее общее образование,,,,,,,,,,
2025-11-16 21:57:05.648,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,"Наличие надёжной защиты и конфиденциальности данных, Автосохранение ответов у респондента, Возможность задавать случайный порядок отображения вопросов",,Я никогда не думал(-а) об этом,Сильно затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Наиболее встречаемое значение (мода), Круговые диаграммы",3.0,"Мне кажется, что это должно быть обязательной функцией"
2025-11-17 01:38:53.396,Да,Высшее образование,"Да, я разрабатываю всю анкету, ориентируясь на них",Отечественного,"Возможность совместной работы над созданием опросов, Возможность ограничивать количество выбранных ответов в check box, Наличие надёжной защиты и конфиденциальности данных, Возможность задавать случайный порядок отображения вопросов, Экспорт данных в различных удобных форматах, Автосохранение ответов у респондента, Автоматическое отображение текущей статистики ответов, Наличие шаблонов для анкет, Возможность настраивать ветвления вопросов, Возможность кастомизировать дизайн опроса",-,"Я не пишу, поскольку это не имеет смысла",Слабо затрудняет,Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Среднее арифметическое, Гистограммы, Наиболее встречаемое значение (мода), Корреляция между ответами на разные вопросы, Точечные графики, Круговые диаграммы",6.0,"Мне всё равно – и так знаю, как методы работают"
2025-11-17 09:23:46.810,Да,Высшее образование,"Иногда, изменяя какие-то вопросы для лучшего восприятия",Зарубежного,"Возможность ограничивать количество выбранных ответов в check box, Возможность настраивать ветвления вопросов, Автоматическое отображение текущей статистики ответов, Наличие надёжной защиты и конфиденциальности данных, Автосохранение ответов у респондента, Возможность совместной работы над созданием опросов, Экспорт данных в различных удобных форматах",,Я никогда не думал(-а) об этом,"Скорее всего, не затрудняет",Средняя: части анкеты могут скрываться в зависимости от ответов пользователя,"Корреляция между ответами на разные вопросы, Среднее арифметическое, Круговые диаграммы, Гистограммы",4.0,"Я бы хотел(-а) – тогда я, возможно, смогу понять, что лучше использовать"
2025-11-17 15:53:29.589,Нет,Среднее общее образование,,,,,,,,,,
